id,idade,renda,cidade,categoria,nota,feedback
1,63.0,7288.84,Natal,B,1.5,Ruim
2,44.0,11775.4,Recife,A,3.8,Ruim
3,17.0,8816.41,Belo Horizonte,A,9.3,Ruim
4,41.0,0.0,Campo Grande,A,9.0,Bom
5,42.0,14643.01,Sao Paulo,B,3.2,Ruim
6,18.0,13239.69,Palmas,A,1.4,Ruim
7,32.0,8656.12,Teresina,B,2.7,Ruim
8,48.0,9608.45,Brasilia,B,3.0,Ruim
9,42.0,11292.77,0,A,3.0,Ruim
10,43.0,0.0,Goiania,A,9.1,Bom
11,58.0,6021.63,Maceio,B,9.7,Regular
12,54.0,7984.56,Sao Paulo,B,9.3,Bom
13,35.0,13191.92,Rio de Janeiro,B,8.0,Regular
14,43.0,5577.7,Natal,A,4.7,Regular
15,40.0,5222.74,Brasilia,A,5.6,Regular
16,41.0,9448.38,Porto Alegre,A,7.6,Bom
17,54.0,4199.33,Rio de Janeiro,B,7.8,Bom
18,24.0,3646.98,0,B,2.8,Ruim
19,31.0,14130.53,Salvador,B,4.0,Regular
20,23.0,9372.61,Joao Pessoa,B,7.6,Regular
21,57.0,10868.28,Palmas,B,7.5,Regular
22,63.0,3418.66,Teresina,B,3.6,Ruim
23,32.0,10417.97,Sao Paulo,B,5.5,Regular
24,70.0,0.0,Porto Alegre,B,3.9,Ruim
25,37.0,8229.67,Florianopolis,B,1.0,Ruim
26,69.0,14944.18,Recife,A,8.6,Bom
27,43.0,6730.72,Sao Paulo,B,1.4,Ruim
28,58.0,9367.09,Aracaju,B,3.1,Ruim
29,59.0,0.0,Teresina,B,5.6,Regular
30,44.0,3500.82,Recife,A,4.9,Regular
31,23.0,12837.07,Joao Pessoa,B,0.8,Ruim
32,50.0,9117.88,0,B,1.8,Ruim
33,47.0,6910.15,Sao Paulo,A,3.3,Ruim
34,51.0,8085.84,Cuiaba,A,0.2,Ruim
35,65.0,0.0,Florianopolis,B,2.1,Ruim
36,38.0,13565.25,Natal,A,7.0,Bom
37,38.0,2116.47,Campo Grande,A,4.8,Ruim
38,17.0,5945.61,0,A,0.5,Ruim
39,0.0,10711.73,Campo Grande,B,6.7,Bom
40,69.0,2756.66,0,A,5.3,Regular
41,35.0,2952.64,Joao Pessoa,A,6.8,Bom
42,20.0,1711.42,Cuiaba,A,9.6,Bom
43,70.0,8307.58,Rio de Janeiro,B,0.0,Ruim
44,62.0,0.0,Maceio,B,8.9,Regular
45,70.0,11579.63,Natal,B,9.6,Regular
46,54.0,2560.5,Sao Paulo,B,0.1,Ruim
47,49.0,5710.51,Brasilia,A,6.8,Bom
48,57.0,6585.16,Fortaleza,A,9.3,Bom
49,38.0,8564.46,Belo Horizonte,A,8.2,Bom
