id,idade,renda,cidade,categoria,nota,feedback
1,33.0,23998.6,São Paulo,B,5.4,Bom
2,30.0,32347.35,Vitória,A,7.3,Bom
3,27.0,19521.96,São Paulo,B,6.2,Bom
4,54.0,3828.07,Vitória,A,6.3,Bom
5,61.0,39322.37,Vitória,A,5.9,Bom
6,21.0,5161.84,Rio de Janeiro,B,6.4,Bom
7,71.0,40802.71,Vitória,A,8.8,Bom
8,54.0,30259.86,Vitória,A,8.6,Bom
9,33.0,28731.83,São Paulo,A,6.2,Bom
10,61.0,16085.1,Belo Horizonte,A,9.3,Bom
11,61.0,26517.85,Belo Horizonte,A,8.2,Bom
12,56.0,34861.42,São Paulo,B,5.9,Bom
13,41.0,35624.08,Belo Horizonte,B,8.2,Bom
14,68.0,20769.09,São Paulo,B,0.0,0
15,49.0,32015.4,São Paulo,A,9.5,Bom
16,39.0,40120.43,Belo Horizonte,A,7.6,Bom
17,28.0,9481.73,Rio de Janeiro,A,6.1,Bom
18,67.0,7308.95,Vitória,B,7.0,Bom
19,47.0,44259.4,Belo Horizonte,B,5.3,Bom
20,35.0,24890.01,Rio de Janeiro,B,9.1,Bom
21,76.0,2750.42,São Paulo,A,7.1,Bom
22,32.0,16921.4,Belo Horizonte,B,8.8,Bom
23,78.0,40817.76,São Paulo,A,9.6,Bom
24,79.0,23918.18,Rio de Janeiro,A,8.2,Bom
25,43.0,44553.61,Belo Horizonte,A,6.6,Bom
26,38.0,15711.57,Rio de Janeiro,B,8.4,Bom
27,45.0,6089.55,Belo Horizonte,B,7.7,Bom
28,83.0,78193.38,São Paulo,A,1.0,Bom
29,57.0,10577.48,São Paulo,B,7.7,Bom
30,26.0,18505.49,Belo Horizonte,A,5.2,Bom
31,73.0,35670.6,Belo Horizonte,A,8.6,Bom
32,57.0,17979.62,Rio de Janeiro,A,5.9,Bom
33,73.0,21513.79,Belo Horizonte,A,6.1,Bom
34,80.0,22945.35,Rio de Janeiro,A,6.5,Bom
35,46.0,35509.35,Belo Horizonte,A,8.3,Bom
36,64.0,13204.45,Belo Horizonte,B,9.6,Bom
37,57.0,34548.0,Rio de Janeiro,A,7.8,Bom
38,82.0,45177.04,São Paulo,B,8.4,Bom
39,26.0,38824.2,Vitória,A,9.0,Bom
40,72.0,37013.47,São Paulo,A,5.6,Bom
41,22.0,41461.18,Rio de Janeiro,B,5.1,Bom
42,79.0,25576.02,Rio de Janeiro,A,9.3,Bom
43,63.0,24369.99,Rio de Janeiro,B,8.3,Bom
44,45.0,13812.42,Belo Horizonte,B,9.0,Bom
45,43.0,29506.6,Vitória,A,5.3,Bom
46,55.0,20776.12,Belo Horizonte,B,7.9,Bom
47,22.0,30040.14,Rio de Janeiro,A,0.0,0
48,41.0,24698.87,São Paulo,B,6.8,Bom
49,34.0,46111.81,São Paulo,B,5.5,Bom
50,20.0,44783.66,Belo Horizonte,A,6.8,Bom
51,56.0,10652.06,Vitória,A,9.8,Bom
52,75.0,15008.89,Vitória,B,6.0,Bom
53,57.0,42600.93,Belo Horizonte,B,9.0,Bom
54,74.0,17059.67,Belo Horizonte,B,7.4,Bom
55,18.0,26201.86,São Paulo,B,6.2,Bom
56,43.0,21549.96,Rio de Janeiro,A,6.3,Bom
57,58.0,34654.28,Rio de Janeiro,B,9.6,Bom
58,23.0,12091.58,Vitória,B,7.8,Bom
59,23.0,20485.33,Vitória,B,5.1,Bom
60,23.0,8500.4,São Paulo,B,9.5,Bom
61,46.0,9959.24,São Paulo,B,5.8,Bom
62,41.0,5276.67,São Paulo,B,8.1,Bom
63,58.0,4710.56,Belo Horizonte,A,6.2,Bom
64,16.0,6004.06,São Paulo,B,5.1,Bom
65,44.0,23859.21,São Paulo,B,6.8,Bom
66,50.0,24687.35,Belo Horizonte,A,9.7,Bom
67,41.0,44426.48,Belo Horizonte,A,6.3,Bom
68,26.0,44535.97,Belo Horizonte,A,9.3,Bom
69,42.0,36830.46,Vitória,B,9.7,Bom
70,81.0,23773.11,Belo Horizonte,A,9.7,Bom
71,36.0,29890.48,Rio de Janeiro,A,6.7,Bom
72,32.0,13295.59,São Paulo,B,9.3,Bom
73,43.0,5973.76,Belo Horizonte,B,6.7,Bom
74,55.0,17982.91,São Paulo,A,7.0,Bom
75,61.0,30750.42,Vitória,B,7.2,Bom
