id,idade,renda,cidade,categoria,nota,feedback
1,33,23998.6,São Paulo,B,5.4,Bom
2,30,32347.35,Vitória,A,7.3,Bom
3,27,19521.96,São Paulo,B,6.2,Bom
4,54,3828.07,Vitória,A,6.3,Bom
5,61,39322.37,Vitória,A,5.9,Bom
6,21,5161.84,Rio de Janeiro,B,6.4,Bom
7,71,40802.71,Vitória,A,8.8,Bom
8,54,30259.86,Vitória,A,8.6,Bom
9,33,28731.83,São Paulo,A,6.2,Bom
10,61,16085.1,Belo Horizonte,A,9.3,Bom
11,61,26517.85,Belo Horizonte,A,8.2,Bom
12,56,34861.42,São Paulo,B,5.9,Bom
13,41,35624.08,Belo Horizonte,B,8.2,Bom
14,68,20769.09,São Paulo,B,,
15,49,32015.4,São Paulo,A,9.5,Bom
16,39,40120.43,Belo Horizonte,A,7.6,Bom
17,28,9481.73,Rio de Janeiro,A,6.1,Bom
18,67,7308.95,Vitória,B,7.0,Bom
19,47,44259.4,Belo Horizonte,B,5.3,Bom
20,35,24890.01,Rio de Janeiro,B,9.1,Bom
21,76,2750.42,São Paulo,A,7.1,Bom
22,32,16921.4,Belo Horizonte,B,8.8,Bom
23,78,40817.76,São Paulo,A,9.6,Bom
24,79,23918.18,Rio de Janeiro,A,8.2,Bom
25,43,44553.61,Belo Horizonte,A,6.6,Bom
26,38,15711.57,Rio de Janeiro,B,8.4,Bom
27,45,6089.55,Belo Horizonte,B,7.7,Bom
28,83,78193.38,São Paulo,A,1.0,Bom
29,57,10577.48,São Paulo,B,7.7,Bom
30,26,18505.49,Belo Horizonte,A,5.2,Bom
31,73,35670.6,Belo Horizonte,A,8.6,Bom
32,57,17979.62,Rio de Janeiro,A,5.9,Bom
33,73,21513.79,Belo Horizonte,A,6.1,Bom
34,80,22945.35,Rio de Janeiro,A,6.5,Bom
35,46,35509.35,Belo Horizonte,A,8.3,Bom
36,64,13204.45,Belo Horizonte,B,9.6,Bom
37,57,34548.0,Rio de Janeiro,A,7.8,Bom
38,82,45177.04,São Paulo,B,8.4,Bom
39,26,38824.2,Vitória,A,9.0,Bom
40,72,37013.47,São Paulo,A,5.6,Bom
41,22,41461.18,Rio de Janeiro,B,5.1,Bom
42,79,25576.02,Rio de Janeiro,A,9.3,Bom
43,63,24369.99,Rio de Janeiro,B,8.3,Bom
44,45,13812.42,Belo Horizonte,B,9.0,Bom
45,43,29506.6,Vitória,A,5.3,Bom
46,55,20776.12,Belo Horizonte,B,7.9,Bom
47,22,30040.14,Rio de Janeiro,A,,
48,41,24698.87,São Paulo,B,6.8,Bom
49,34,46111.81,São Paulo,B,5.5,Bom
50,20,44783.66,Belo Horizonte,A,6.8,Bom
51,56,10652.06,Vitória,A,9.8,Bom
52,75,15008.89,Vitória,B,6.0,Bom
53,57,42600.93,Belo Horizonte,B,9.0,Bom
54,74,17059.67,Belo Horizonte,B,7.4,Bom
55,18,26201.86,São Paulo,B,6.2,Bom
56,43,21549.96,Rio de Janeiro,A,6.3,Bom
57,58,34654.28,Rio de Janeiro,B,9.6,Bom
58,23,12091.58,Vitória,B,7.8,Bom
59,23,20485.33,Vitória,B,5.1,Bom
60,23,8500.4,São Paulo,B,9.5,Bom
61,46,9959.24,São Paulo,B,5.8,Bom
62,41,5276.67,São Paulo,B,8.1,Bom
63,58,4710.56,Belo Horizonte,A,6.2,Bom
64,16,6004.06,São Paulo,B,5.1,Bom
65,44,23859.21,São Paulo,B,6.8,Bom
66,50,24687.35,Belo Horizonte,A,9.7,Bom
67,41,44426.48,Belo Horizonte,A,6.3,Bom
68,26,44535.97,Belo Horizonte,A,9.3,Bom
69,42,36830.46,Vitória,B,9.7,Bom
70,81,23773.11,Belo Horizonte,A,9.7,Bom
71,36,29890.48,Rio de Janeiro,A,6.7,Bom
72,32,13295.59,São Paulo,B,9.3,Bom
73,43,5973.76,Belo Horizonte,B,6.7,Bom
74,55,17982.91,São Paulo,A,7.0,Bom
75,61,30750.42,Vitória,B,7.2,Bom
76,62,1930.45,Rio de Janeiro,B,9.6,Bom
77,60,23601.12,Belo Horizonte,A,10.0,Bom
78,31,30607.43,Vitória,A,9.0,Bom
79,73,36887.19,São Paulo,A,7.3,Bom
80,80,42366.87,Rio de Janeiro,B,6.1,Bom
81,73,33432.68,Rio de Janeiro,B,5.6,Bom
82,68,,Vitória,B,8.2,
83,,22088.53,Vitória,A,6.8,Bom
84,73,24914.57,Vitória,B,9.6,Bom
85,45,5894.87,Rio de Janeiro,B,6.4,Bom
86,67,31900.6,Vitória,A,5.8,Bom
87,32,27066.28,São Paulo,B,7.7,Bom
88,21,26338.47,Vitória,A,7.1,Bom
89,20,21650.49,Vitória,B,7.0,Bom
90,78,44224.16,Belo Horizonte,A,9.2,Bom
91,17,11589.98,Vitória,A,5.5,Bom
92,37,11802.8,São Paulo,B,6.9,Bom
93,40,20596.2,Vitória,B,8.3,Bom
94,61,21449.49,Vitória,A,6.3,Bom
95,22,11834.34,Rio de Janeiro,B,6.8,Bom
96,63,33098.78,Rio de Janeiro,B,5.7,Bom
97,49,44224.8,Rio de Janeiro,A,9.0,Bom
98,64,37834.37,Rio de Janeiro,B,8.7,Bom
99,44,20641.76,Vitória,B,6.4,Bom
100,58,14999.43,Vitória,A,7.0,Bom
101,73,44047.69,São Paulo,A,9.5,Bom
102,46,8387.91,Rio de Janeiro,A,8.6,Bom
103,46,35380.56,Rio de Janeiro,A,6.5,Bom
104,54,4064.38,Vitória,B,9.4,Bom
105,67,7594.63,Rio de Janeiro,A,9.6,Bom
106,45,30430.67,Vitória,A,8.2,Bom
107,18,38482.44,Vitória,A,6.0,Bom
108,38,11361.16,Vitória,B,6.7,Bom
109,68,19205.96,São Paulo,A,9.3,Bom
110,33,14936.28,São Paulo,B,8.5,Bom
111,33,8956.34,Vitória,A,6.1,Bom
112,63,25570.73,São Paulo,A,7.7,Bom
113,33,21387.47,Vitória,A,7.9,Bom
114,68,31268.26,São Paulo,B,5.6,Bom
115,70,18317.24,Belo Horizonte,A,5.6,Bom
116,46,35654.25,Rio de Janeiro,A,5.0,Bom
117,66,26332.73,São Paulo,B,5.8,Bom
118,45,39970.75,Rio de Janeiro,B,9.0,Bom
119,56,19758.53,Rio de Janeiro,B,6.8,Bom
120,74,22182.16,Belo Horizonte,A,9.8,Bom
121,45,39322.34,Vitória,A,,
122,25,19553.61,Vitória,A,6.1,Bom
123,47,32167.14,São Paulo,A,9.9,Bom
124,44,14872.53,São Paulo,B,5.5,Bom
125,28,2746.46,Vitória,B,6.2,Bom
126,33,18765.43,Vitória,B,5.7,Bom
127,76,13426.21,Rio de Janeiro,B,6.6,Bom
128,81,30891.42,Rio de Janeiro,A,6.9,Bom
129,77,4543.42,Vitória,A,5.9,Bom
130,41,41525.09,Vitória,B,7.3,Bom
131,50,37248.69,Rio de Janeiro,A,7.7,Bom
132,74,25318.28,São Paulo,A,8.3,Bom
133,32,25788.37,Rio de Janeiro,A,6.4,Bom
134,64,25161.56,Rio de Janeiro,B,8.3,Bom
135,23,8586.09,Belo Horizonte,B,6.2,Bom
136,21,9277.73,Rio de Janeiro,A,7.9,Bom
137,81,4628.8,São Paulo,A,6.3,Bom
138,35,37467.56,São Paulo,A,5.6,Bom
139,30,31392.14,Vitória,A,9.0,Bom
140,33,27912.82,São Paulo,A,7.3,Bom
141,18,11968.1,Rio de Janeiro,A,9.5,Bom
142,56,43592.93,Belo Horizonte,B,8.0,Bom
143,52,39982.27,Rio de Janeiro,A,5.8,Bom
144,46,5659.14,Belo Horizonte,B,8.9,Bom
145,79,26956.59,Rio de Janeiro,B,7.7,Bom
146,24,13851.09,Rio de Janeiro,B,5.0,Bom
147,72,3653.49,Belo Horizonte,B,8.3,Bom
148,105,667.15,Rio de Janeiro,A,3.4,Bom
149,57,6347.95,Rio de Janeiro,B,6.4,Bom
150,43,38381.15,Rio de Janeiro,B,9.0,Bom
151,47,38449.49,Rio de Janeiro,B,9.0,Bom
152,44,26690.62,São Paulo,A,5.6,Bom
153,44,23117.65,Belo Horizonte,B,7.1,Bom
154,,11761.44,Vitória,A,6.7,Bom
155,20,6433.39,Rio de Janeiro,A,9.5,Bom
156,54,42184.4,Belo Horizonte,A,8.6,Bom
157,74,21764.85,Rio de Janeiro,B,6.2,Bom
158,52,28848.24,Vitória,A,9.4,Bom
159,51,25436.87,São Paulo,B,5.3,Bom
160,51,12775.99,São Paulo,A,9.7,Bom
161,28,3134.76,Vitória,B,7.7,Bom
162,43,36783.97,São Paulo,A,8.1,Bom
163,24,3517.48,Rio de Janeiro,B,5.1,Bom
164,52,37274.4,Belo Horizonte,A,9.0,Bom
165,60,17475.92,Rio de Janeiro,B,6.7,Bom
166,60,,Belo Horizonte,A,5.2,
167,27,25340.21,Vitória,B,6.6,Bom
168,73,29142.66,São Paulo,A,6.0,Bom
169,32,3815.95,São Paulo,B,6.1,Bom
170,61,19961.25,Rio de Janeiro,B,5.8,Bom
171,17,21559.87,Rio de Janeiro,B,8.0,Bom
172,50,13322.46,Rio de Janeiro,B,8.9,Bom
173,66,21970.7,Rio de Janeiro,A,8.9,Bom
174,,40750.31,São Paulo,A,7.4,Bom
175,17,4358.41,São Paulo,B,7.8,Bom
176,59,31840.78,Vitória,A,9.5,Bom
177,49,35396.93,Belo Horizonte,A,7.7,Bom
178,48,41349.37,Belo Horizonte,B,7.3,Bom
179,16,3958.87,Belo Horizonte,B,6.7,Bom
180,28,26830.02,Vitória,,9.1,
181,70,14719.27,Belo Horizonte,A,5.3,Bom
182,28,2171.53,Rio de Janeiro,B,8.5,Bom
183,26,8359.25,Rio de Janeiro,B,6.1,Bom
184,29,13342.37,São Paulo,B,7.6,Bom
185,68,12747.94,São Paulo,A,5.3,Bom
186,25,41165.79,Vitória,A,7.3,Bom
187,58,8928.28,São Paulo,A,8.9,Bom
188,20,23993.64,São Paulo,A,6.1,Bom
189,45,15119.69,São Paulo,A,9.4,Bom
190,73,7213.11,Vitória,A,6.9,Bom
191,25,30459.92,Vitória,A,8.8,Bom
192,34,8423.79,Belo Horizonte,B,7.9,Bom
193,,24809.27,Rio de Janeiro,A,6.0,Bom
194,18,35987.92,Rio de Janeiro,A,6.6,Bom
195,47,45271.97,Belo Horizonte,A,5.7,Bom
196,72,11694.92,São Paulo,B,5.5,
197,59,44711.82,Belo Horizonte,B,8.7,Bom
198,24,21769.58,Vitória,A,5.1,Bom
199,75,38457.64,São Paulo,B,,
200,33,41511.39,São Paulo,A,6.4,Bom
201,31,36538.32,Belo Horizonte,B,8.9,Bom
202,8,459.89,Rio de Janeiro,A,0.4,Bom
203,62,19480.31,Rio de Janeiro,B,6.4,Bom
204,39,27102.39,Vitória,A,9.7,Bom
205,28,34496.45,Rio de Janeiro,B,5.3,Bom
206,47,18234.72,Belo Horizonte,B,9.5,Bom
207,30,44677.99,Rio de Janeiro,A,10.0,Bom
208,66,9856.47,Rio de Janeiro,A,6.4,Bom
209,52,3571.85,,A,8.5,Bom
210,39,33379.65,Belo Horizonte,B,7.8,Bom
211,43,29568.11,Vitória,A,9.0,Bom
212,48,16064.67,Vitória,B,7.3,Bom
213,71,31618.64,São Paulo,B,7.6,Bom
214,67,23458.75,Rio de Janeiro,A,9.3,Bom
215,78,39927.01,Vitória,A,6.4,Bom
216,38,5035.69,Rio de Janeiro,B,7.6,Bom
217,60,34700.16,Belo Horizonte,B,5.2,Bom
218,39,16309.91,Rio de Janeiro,A,8.9,Bom
219,32,31766.36,Rio de Janeiro,B,5.6,Bom
220,75,30617.5,Vitória,A,5.8,Bom
221,78,3120.08,Belo Horizonte,B,7.0,Bom
222,69,39451.99,Rio de Janeiro,A,7.8,Bom
223,80,24172.85,Vitória,A,8.7,Bom
224,47,32895.28,Vitória,B,9.2,Bom
225,33,18929.65,Vitória,B,9.9,Bom
226,39,39328.58,Vitória,A,9.8,Bom
227,26,26893.0,São Paulo,B,5.0,Bom
228,28,22783.84,São Paulo,A,7.8,Bom
229,67,2662.77,Belo Horizonte,A,6.8,Bom
230,72,,São Paulo,A,6.2,
231,52,43480.43,Rio de Janeiro,A,,
232,21,45443.17,Vitória,B,8.9,Bom
233,42,12242.05,São Paulo,A,8.2,
234,54,21277.91,Vitória,B,8.6,Bom
235,80,4291.94,Belo Horizonte,A,6.3,Bom
236,64,19734.62,Vitória,A,6.3,Bom
237,73,12100.21,São Paulo,B,5.5,Bom
238,60,11030.08,São Paulo,A,9.0,Bom
239,32,34454.55,Rio de Janeiro,B,7.9,Bom
240,17,38551.54,São Paulo,A,8.2,Bom
241,18,30918.01,Rio de Janeiro,A,8.9,Bom
242,78,12277.6,Vitória,A,5.2,Bom
243,37,27478.14,Belo Horizonte,A,5.7,Bom
244,75,13261.62,Belo Horizonte,B,8.6,Bom
245,23,22595.32,Belo Horizonte,A,5.9,Bom
246,37,19108.91,São Paulo,A,8.2,Bom
247,20,41960.6,Rio de Janeiro,A,6.2,Bom
248,46,39217.7,Vitória,B,7.0,Bom
249,22,3336.24,São Paulo,B,6.0,Bom
250,31,38794.41,São Paulo,B,7.3,Bom
251,76,33754.96,Belo Horizonte,A,6.6,Bom
252,43,38169.76,Rio de Janeiro,A,6.4,Bom
253,40,12680.21,Vitória,A,5.2,Bom
254,70,5998.79,São Paulo,A,8.5,Bom
255,67,14025.0,São Paulo,A,8.7,Bom
256,76,9473.83,Vitória,A,7.1,Bom
257,74,32591.44,São Paulo,A,6.9,Bom
258,46,6018.02,Rio de Janeiro,A,6.1,Bom
259,55,9207.27,São Paulo,A,8.9,Bom
260,68,24484.21,São Paulo,B,6.4,Bom
261,77,2532.39,Belo Horizonte,A,5.1,Bom
262,71,36257.46,São Paulo,B,5.1,
263,78,9550.47,Vitória,B,6.5,Bom
264,72,43117.05,Belo Horizonte,B,7.1,Bom
265,33,31846.4,Belo Horizonte,A,6.9,Bom
266,20,4390.74,Rio de Janeiro,A,8.1,Bom
267,55,19325.92,Vitória,B,7.1,Bom
268,41,8997.81,Vitória,B,6.0,Bom
269,31,40774.68,Vitória,B,7.6,Bom
270,19,43418.27,Belo Horizonte,A,6.6,Bom
271,26,37569.55,Belo Horizonte,A,5.1,Bom
272,45,33052.91,São Paulo,B,5.1,Bom
273,27,37421.66,Vitória,A,,
274,29,10548.6,Vitória,A,7.7,Bom
275,70,31517.01,Belo Horizonte,A,6.7,Bom
276,18,42023.05,Vitória,B,8.2,Bom
277,27,10876.52,São Paulo,B,5.2,Bom
278,72,44460.55,São Paulo,B,6.0,Bom
279,81,7674.54,Belo Horizonte,A,5.5,Bom
280,22,15532.45,Vitória,B,8.8,Bom
281,56,23974.04,Vitória,B,7.5,Bom
282,18,41719.12,Belo Horizonte,A,9.2,Bom
283,27,13966.15,Vitória,A,9.7,Bom
284,49,28477.84,Belo Horizonte,B,9.0,Bom
285,23,13455.27,Vitória,A,7.7,Bom
286,20,3945.76,Rio de Janeiro,A,7.4,Bom
287,62,15325.33,São Paulo,B,5.3,Bom
