id,idade,renda,cidade,categoria,nota,feedback
1,44,22786.63,São Paulo,A,5.9,Bom
2,55,31927.19,Belo Horizonte,A,7.2,Bom
3,50,36498.17,Vitória,B,7.8,Bom
4,43,23199.72,São Paulo,A,7.3,Bom
5,50,45807.83,Rio de Janeiro,A,6.3,Bom
6,24,28296.26,Belo Horizonte,B,6.2,Bom
7,38,28893.65,São Paulo,B,7.5,Bom
8,58,34185.04,Vitória,A,7.2,Bom
9,81,19760.27,São Paulo,B,8.4,Bom
10,48,21692.24,São Paulo,A,6.8,Bom
11,52,1988.35,Vitória,B,5.5,Bom
12,78,27524.74,Belo Horizonte,A,8.8,Bom
13,18,2662.95,São Paulo,B,7.3,Bom
14,79,38641.07,Vitória,A,7.5,Bom
15,36,30714.12,Vitória,A,9.5,Bom
16,31,43442.32,Rio de Janeiro,A,6.5,Bom
17,47,36805.71,Rio de Janeiro,A,6.7,Bom
18,71,16436.86,Belo Horizonte,B,6.3,Bom
19,31,45809.1,Rio de Janeiro,B,9.6,Bom
20,76,46137.87,Vitória,A,8.8,Bom
21,52,18885.35,São Paulo,B,7.8,Bom
22,74,10562.31,Rio de Janeiro,B,6.9,Bom
23,38,45609.46,Vitória,A,7.7,Bom
24,48,10735.04,Belo Horizonte,B,5.3,Bom
25,25,32213.28,Rio de Janeiro,A,5.1,Bom
26,50,38537.91,Vitória,B,9.8,Bom
27,27,35338.83,Belo Horizonte,A,7.0,Bom
28,67,15835.24,Vitória,B,8.9,Bom
29,74,31617.55,Vitória,B,8.4,Bom
30,40,5335.36,Vitória,B,9.5,Bom
31,75,45046.28,Vitória,A,8.6,Bom
32,52,13021.23,São Paulo,A,7.4,Bom
33,67,3076.53,Rio de Janeiro,A,6.5,Bom
34,74,19811.06,Vitória,B,8.9,Bom
35,60,17402.79,Belo Horizonte,A,7.6,Bom
36,23,33921.96,São Paulo,B,5.6,Bom
37,54,35923.58,São Paulo,B,7.7,Bom
38,54,20865.6,Belo Horizonte,B,5.2,Bom
39,33,29313.79,São Paulo,B,7.4,Bom
40,82,34853.07,São Paulo,A,9.7,Bom
41,71,44291.27,Vitória,A,8.8,Bom
42,51,32156.23,Belo Horizonte,A,8.9,Bom
43,75,5780.89,Vitória,A,8.7,Bom
44,16,12698.51,Rio de Janeiro,A,8.8,Bom
45,71,28760.08,Rio de Janeiro,B,9.1,Bom
46,67,6310.88,São Paulo,B,7.4,Bom
47,37,5677.61,Vitória,A,8.6,Bom
48,19,8055.61,São Paulo,B,6.6,Bom
49,46,17648.96,Rio de Janeiro,B,9.7,Bom
50,29,44691.62,Belo Horizonte,A,8.2,Bom
51,78,42160.36,Vitória,B,5.7,Bom
52,30,45401.79,Rio de Janeiro,B,7.6,Bom
53,22,38334.49,Belo Horizonte,A,7.3,Bom
54,50,41900.91,Vitória,B,8.5,Bom
55,44,26911.83,Vitória,A,5.5,Bom
56,17,41183.9,São Paulo,A,7.4,Bom
57,23,6958.41,São Paulo,B,5.0,Bom
58,24,28167.4,São Paulo,B,8.4,Bom
59,46,34347.23,São Paulo,B,5.9,Bom
60,70,39880.84,Belo Horizonte,B,8.3,Bom
61,27,36226.5,Belo Horizonte,A,5.6,Bom
62,46,34728.32,São Paulo,B,8.9,Bom
63,63,35417.05,Belo Horizonte,A,8.2,Bom
64,32,21668.48,Belo Horizonte,A,9.6,Bom
65,49,33671.46,Vitória,A,5.6,Bom
66,31,28437.59,São Paulo,B,7.4,Bom
67,31,10437.27,Rio de Janeiro,B,9.5,Bom
68,18,42621.09,Rio de Janeiro,B,6.0,Bom
69,28,6659.26,São Paulo,B,8.3,Bom
70,55,9861.55,Vitória,A,8.2,Bom
71,55,37545.32,Belo Horizonte,A,8.1,Bom
72,61,1723.21,São Paulo,B,7.8,Bom
73,75,21931.92,São Paulo,A,5.7,Bom
74,27,39699.12,Belo Horizonte,A,6.8,Bom
75,51,21419.21,São Paulo,A,9.4,Bom
76,47,25608.67,Vitória,A,7.0,Bom
77,60,7741.36,Belo Horizonte,A,6.7,Bom
78,36,31738.08,São Paulo,A,5.9,Bom
79,20,11616.01,Vitória,B,5.4,Bom
80,50,7836.48,Vitória,A,5.3,Bom
81,38,23658.02,Vitória,B,5.4,Bom
82,46,4956.03,Belo Horizonte,A,9.0,Bom
83,49,44100.96,Rio de Janeiro,B,6.9,Bom
84,50,7907.85,Vitória,B,8.1,Bom
85,51,31342.87,Vitória,A,5.3,Bom
86,45,38949.45,Belo Horizonte,B,8.6,Bom
87,72,44440.55,Vitória,B,5.2,Bom
88,75,37271.78,São Paulo,B,9.5,Bom
89,77,15944.9,Vitória,A,6.8,Bom
90,79,5278.94,Rio de Janeiro,B,5.2,Bom
91,27,42131.1,Belo Horizonte,B,8.8,Bom
92,33,24884.5,Vitória,B,5.7,Bom
93,36,3443.86,Vitória,B,7.7,Bom
94,27,18486.89,Rio de Janeiro,A,5.1,Bom
95,24,12355.07,Vitória,A,6.1,Bom
96,25,37814.19,Rio de Janeiro,B,9.1,Bom
97,56,13147.32,Belo Horizonte,B,9.0,Bom
98,82,23620.74,São Paulo,A,9.5,Bom
99,18,28822.51,Belo Horizonte,A,8.4,Bom
100,62,6693.79,Belo Horizonte,A,9.2,Bom
