id,idade,renda,cidade,categoria,nota,feedback
1,25.0,8861.1,São Paulo,A,5.5,Regular
2,31.0,4553.4,Belo Horizonte,B,8.4,Regular
3,48.0,8259.38,Rio de Janeiro,B,6.9,Regular
4,37.0,10690.56,Rio de Janeiro,A,5.7,Bom
5,48.0,9732.75,Rio de Janeiro,A,9.2,Bom
6,68.0,8105.9,Belo Horizonte,B,9.5,Bom
7,36.0,4050.69,0,B,2.9,Ruim
8,32.0,12931.56,Rio de Janeiro,A,8.4,Bom
9,25.0,3801.63,Belo Horizonte,B,5.7,Bom
10,57.0,0.0,Rio de Janeiro,B,6.1,Regular
11,60.0,5973.73,Belo Horizonte,A,2.7,Bom
12,67.0,3242.53,Belo Horizonte,A,7.0,Ruim
13,43.0,5343.29,Vitória,A,10.0,Bom
14,47.0,2592.43,Belo Horizonte,B,1.0,Ruim
15,27.0,2451.54,Vitória,B,7.6,Ruim
16,67.0,6427.65,Rio de Janeiro,B,1.6,Bom
17,41.0,2579.26,Belo Horizonte,B,6.4,Bom
18,24.0,2372.36,Rio de Janeiro,B,6.8,Ruim
19,19.0,3835.05,São Paulo,B,6.4,Bom
20,55.0,6477.99,Rio de Janeiro,A,1.9,Bom
21,61.0,6207.38,Rio de Janeiro,A,5.5,Bom
22,60.0,8899.74,São Paulo,B,5.0,Ruim
23,61.0,4012.17,Rio de Janeiro,B,5.9,Ruim
24,64.0,11036.39,Belo Horizonte,B,0.0,Bom
25,30.0,8000.09,Rio de Janeiro,A,0.3,Regular
26,17.0,7867.18,Vitória,A,4.1,Ruim
27,22.0,12954.6,Belo Horizonte,B,0.2,Ruim
28,29.0,9078.27,Vitória,B,2.5,Ruim
29,52.0,9814.24,São Paulo,B,7.6,Bom
30,25.0,12268.95,Vitória,B,5.8,Regular
31,64.0,10905.12,Rio de Janeiro,A,5.9,Regular
32,45.0,2716.8,Belo Horizonte,B,4.0,Ruim
33,50.0,2993.41,Vitória,B,1.9,Regular
34,62.0,9986.91,Belo Horizonte,B,0.3,Regular
35,55.0,4788.22,Belo Horizonte,B,5.0,Ruim
36,60.0,5465.42,Rio de Janeiro,A,0.8,Ruim
37,51.0,7673.49,Belo Horizonte,B,7.4,Regular
38,29.0,2462.73,Rio de Janeiro,B,1.5,Regular
39,39.0,3614.34,Vitória,B,5.6,Bom
40,69.0,9918.71,Vitória,A,7.4,Ruim
41,68.0,1386.01,Belo Horizonte,B,5.2,Ruim
42,56.0,1412.41,São Paulo,B,4.7,Bom
43,47.0,7590.88,Rio de Janeiro,B,4.2,Bom
44,61.0,3940.76,Vitória,B,8.5,Ruim
45,18.0,4169.01,São Paulo,A,6.9,Regular
46,53.0,0.0,Vitória,A,0.5,Bom
47,29.0,12884.37,Rio de Janeiro,B,1.5,Ruim
48,39.0,10889.72,São Paulo,A,7.8,Bom
49,36.0,8844.53,São Paulo,A,2.6,Regular
50,20.0,3559.63,0,A,4.5,Regular
51,69.0,5454.28,Belo Horizonte,B,5.3,Regular
52,54.0,6413.98,Belo Horizonte,B,9.4,Ruim
53,20.0,10155.73,Rio de Janeiro,B,1.0,Ruim
54,70.0,11616.14,Belo Horizonte,B,8.8,Ruim
55,45.0,1889.75,Rio de Janeiro,B,5.5,Bom
56,47.0,4682.83,São Paulo,A,3.9,Ruim
57,70.0,6818.39,Rio de Janeiro,B,0.4,Bom
58,68.0,5344.38,São Paulo,A,1.1,Bom
59,65.0,12846.4,Rio de Janeiro,B,6.8,Ruim
60,18.0,11381.64,Belo Horizonte,A,8.0,Ruim
61,53.0,10744.93,Rio de Janeiro,A,7.0,Ruim
62,20.0,11349.03,Vitória,A,3.2,Bom
63,0.0,4898.07,0,B,8.3,Bom
64,40.0,12285.94,Vitória,B,1.3,Ruim
65,63.0,12202.57,São Paulo,B,8.4,Regular
66,48.0,8055.22,Rio de Janeiro,A,6.8,Ruim
67,16.0,11269.18,Vitória,A,4.3,Ruim
68,36.0,7647.18,Belo Horizonte,A,3.1,Bom
69,45.0,9740.16,Vitória,A,7.0,Ruim
70,41.0,4488.87,Rio de Janeiro,B,2.2,Regular
71,38.0,8413.93,Belo Horizonte,B,8.2,Bom
72,16.0,7512.55,São Paulo,B,5.7,Regular
73,67.0,4586.94,Rio de Janeiro,B,1.5,Bom
74,60.0,10335.4,São Paulo,B,5.1,Regular
75,68.0,5669.98,Rio de Janeiro,A,1.4,Ruim
76,38.0,3973.11,Vitória,B,6.8,Regular
77,26.0,0.0,Vitória,B,1.3,Ruim
78,46.0,11380.38,Vitória,B,3.9,Ruim
79,25.0,1385.69,Belo Horizonte,B,6.5,Ruim
80,17.0,5208.01,Belo Horizonte,B,6.4,Bom
81,58.0,8295.19,São Paulo,A,1.3,Bom
82,70.0,8728.95,São Paulo,B,2.8,Bom
83,54.0,9893.95,Vitória,A,5.4,Bom
84,32.0,12052.46,Belo Horizonte,B,1.4,Regular
85,37.0,9805.32,São Paulo,A,3.3,Regular
86,18.0,9875.29,São Paulo,B,8.5,Ruim
87,34.0,11694.3,Belo Horizonte,A,9.3,Regular
88,47.0,8243.26,Rio de Janeiro,A,2.1,Ruim
89,21.0,7177.06,São Paulo,B,1.5,Regular
90,49.0,8697.4,Belo Horizonte,A,6.9,Bom
91,21.0,7104.38,São Paulo,B,7.0,Ruim
92,42.0,10656.45,Rio de Janeiro,B,5.2,Regular
93,21.0,11061.02,Vitória,A,7.5,Regular
94,39.0,11452.85,Belo Horizonte,B,7.0,Ruim
95,18.0,8501.36,Rio de Janeiro,B,8.8,Bom
96,39.0,10732.46,Belo Horizonte,A,9.0,Ruim
97,17.0,6601.63,Rio de Janeiro,A,0.5,Bom
98,21.0,8101.91,Rio de Janeiro,B,8.1,Bom
99,31.0,4566.34,Belo Horizonte,B,4.1,Regular
100,36.0,3371.2,Rio de Janeiro,B,2.6,Bom
101,19.0,2116.33,São Paulo,B,8.3,Ruim
102,25.0,9159.04,São Paulo,B,1.6,Ruim
103,17.0,6526.95,Rio de Janeiro,B,1.3,Bom
104,36.0,11015.06,São Paulo,B,9.0,Bom
105,67.0,11522.44,São Paulo,A,2.0,Regular
106,42.0,11501.5,Rio de Janeiro,B,3.0,Bom
107,40.0,11044.09,São Paulo,B,8.1,Regular
108,55.0,3072.11,São Paulo,B,4.3,Ruim
109,59.0,3989.54,Rio de Janeiro,B,0.2,Regular
110,49.0,6007.27,Rio de Janeiro,B,1.5,Ruim
111,23.0,5441.75,Vitória,B,0.6,Bom
112,20.0,8955.41,Belo Horizonte,B,0.3,Ruim
113,67.0,6604.29,Vitória,A,8.4,Bom
114,65.0,12005.0,Vitória,B,1.9,Ruim
115,43.0,2997.33,Rio de Janeiro,B,9.6,Regular
116,41.0,12733.99,Vitória,B,6.8,Ruim
117,69.0,5964.61,Vitória,A,4.2,Regular
118,55.0,3066.77,Vitória,A,4.1,Ruim
119,38.0,2717.14,Belo Horizonte,A,1.0,Regular
120,31.0,9934.33,Rio de Janeiro,B,2.1,Regular
121,70.0,3336.15,Vitória,B,1.2,Regular
122,60.0,1962.67,Vitória,A,2.2,Regular
123,35.0,1563.23,São Paulo,B,4.7,Ruim
124,21.0,11338.14,Rio de Janeiro,A,8.9,Ruim
125,59.0,3108.19,Rio de Janeiro,B,7.2,Bom
126,41.0,11936.35,Rio de Janeiro,A,0.0,Regular
127,23.0,8896.33,Belo Horizonte,A,5.9,Ruim
128,49.0,12783.82,Belo Horizonte,B,7.7,Bom
129,61.0,2773.24,Belo Horizonte,0,3.0,Bom
130,29.0,1694.09,Rio de Janeiro,A,9.8,Ruim
131,55.0,6933.51,Rio de Janeiro,A,7.8,Regular
132,64.0,3602.4,Rio de Janeiro,B,4.7,Ruim
133,34.0,7470.06,Belo Horizonte,A,5.8,Ruim
134,43.0,9603.34,Rio de Janeiro,B,9.1,Bom
135,41.0,4082.4,Belo Horizonte,A,6.8,Bom
136,38.0,4506.11,Belo Horizonte,A,3.3,Bom
137,22.0,7251.87,Vitória,A,4.3,Ruim
138,56.0,4933.72,Belo Horizonte,A,2.0,Regular
139,38.0,1420.64,Vitória,A,8.6,Regular
140,20.0,4586.15,Vitória,B,4.7,Ruim
141,29.0,10089.21,São Paulo,B,4.9,Bom
142,57.0,4894.28,Belo Horizonte,B,3.0,Regular
143,61.0,5791.43,Belo Horizonte,B,6.4,Ruim
144,27.0,8957.59,Belo Horizonte,B,6.5,Ruim
145,61.0,11297.06,Vitória,B,3.0,Ruim
146,59.0,0.0,Belo Horizonte,B,4.9,Bom
147,46.0,6427.95,Belo Horizonte,B,6.1,Regular
148,69.0,1732.99,São Paulo,B,4.3,Ruim
149,70.0,3047.64,São Paulo,A,7.5,Ruim
150,58.0,5204.97,Vitória,B,5.5,Regular
151,63.0,2591.91,Rio de Janeiro,B,5.4,Ruim
152,65.0,12106.06,Belo Horizonte,B,8.4,Ruim
153,41.0,12799.21,São Paulo,B,4.4,Bom
154,22.0,3184.29,Vitória,B,4.4,Regular
155,17.0,10891.57,São Paulo,B,8.5,Bom
156,38.0,6316.14,Rio de Janeiro,A,8.1,Ruim
157,44.0,10295.54,Belo Horizonte,A,8.3,Ruim
158,67.0,11584.17,Rio de Janeiro,B,9.3,0
159,44.0,9195.66,Rio de Janeiro,B,4.6,Bom
160,25.0,3165.72,Vitória,B,3.9,Bom
161,59.0,7024.3,Vitória,A,5.4,Ruim
162,22.0,3111.77,Belo Horizonte,A,5.7,Regular
163,18.0,10551.95,São Paulo,B,8.0,Ruim
164,34.0,10381.59,Rio de Janeiro,B,1.7,Regular
165,33.0,2019.57,Rio de Janeiro,B,7.4,Bom
166,58.0,5424.93,São Paulo,A,0.8,Bom
167,65.0,11912.28,São Paulo,B,9.6,Regular
168,64.0,9962.36,Vitória,B,7.3,Bom
169,41.0,1443.99,Vitória,A,7.7,Regular
170,61.0,5044.87,São Paulo,B,5.4,Bom
171,49.0,3512.11,Rio de Janeiro,A,4.4,Bom
172,19.0,7695.89,São Paulo,A,0.0,0
173,105.0,27857.71,São Paulo,A,-2.3,Ruim
174,67.0,3119.7,Rio de Janeiro,A,3.8,Bom
175,40.0,7554.78,Belo Horizonte,A,1.2,Bom
176,47.0,3044.48,Belo Horizonte,B,9.4,Ruim
177,61.0,4219.82,Vitória,B,8.4,Regular
178,66.0,9507.57,São Paulo,A,0.7,Ruim
179,39.0,7056.34,Belo Horizonte,B,6.1,Ruim
180,29.0,4349.28,Vitória,A,0.5,Ruim
181,21.0,8507.89,Rio de Janeiro,B,4.0,Regular
182,20.0,5544.49,Rio de Janeiro,B,6.6,Bom
183,13.0,1010.37,Belo Horizonte,B,12.7,Bom
184,47.0,7640.81,São Paulo,B,10.0,Regular
185,43.0,7653.8,Vitória,B,3.3,Ruim
186,50.0,7091.92,Vitória,B,1.4,Regular
187,61.0,1352.74,Belo Horizonte,A,2.7,Bom
188,25.0,3006.13,Rio de Janeiro,B,9.2,Ruim
189,16.0,12731.27,Rio de Janeiro,A,5.1,Regular
190,33.0,4752.18,Vitória,A,4.8,Ruim
191,43.0,7301.56,Belo Horizonte,A,1.0,Regular
192,34.0,6583.79,Rio de Janeiro,B,1.3,Ruim
193,28.0,10215.52,Rio de Janeiro,B,7.8,Regular
194,67.0,12304.76,Belo Horizonte,A,3.2,Regular
195,67.0,9917.47,São Paulo,B,2.1,Ruim
196,41.0,3494.44,Belo Horizonte,A,0.0,Bom
197,57.0,4894.46,Vitória,A,7.9,Regular
198,41.0,7831.12,São Paulo,B,3.7,Ruim
199,55.0,1791.88,São Paulo,A,5.2,Ruim
200,58.0,9321.39,Vitória,A,2.1,Bom
201,23.0,7559.82,Vitória,A,0.0,Regular
202,66.0,2232.59,São Paulo,A,6.8,Regular
203,62.0,5161.79,São Paulo,B,5.1,Bom
204,33.0,11025.53,Rio de Janeiro,A,6.2,Bom
205,69.0,3138.37,Rio de Janeiro,A,1.1,Ruim
206,29.0,4824.75,Rio de Janeiro,A,6.2,Ruim
207,22.0,5316.05,Rio de Janeiro,B,6.0,Ruim
208,62.0,4318.4,Vitória,A,6.5,Regular
209,39.0,4088.27,Vitória,B,3.5,Regular
210,68.0,6429.21,São Paulo,B,4.5,Regular
211,58.0,1588.93,São Paulo,A,6.6,Regular
212,0.0,12320.6,Belo Horizonte,B,5.2,Ruim
213,17.0,6664.89,São Paulo,A,7.3,Regular
214,21.0,4230.8,Rio de Janeiro,B,2.7,Regular
215,120.0,1095.33,Rio de Janeiro,A,12.0,Regular
216,46.0,10443.26,Rio de Janeiro,B,2.0,Bom
217,41.0,7650.31,São Paulo,B,7.2,Ruim
218,66.0,7338.76,São Paulo,B,0.7,Regular
219,61.0,9129.76,São Paulo,B,0.0,Bom
220,37.0,10552.34,São Paulo,B,3.6,Bom
221,30.0,6064.13,Belo Horizonte,A,6.7,Regular
222,58.0,8817.12,Rio de Janeiro,B,0.7,Regular
223,31.0,3786.59,São Paulo,B,1.1,Regular
224,18.0,1771.72,Rio de Janeiro,A,7.3,Ruim
225,33.0,2452.98,Rio de Janeiro,A,6.0,Ruim
226,50.0,7390.09,São Paulo,B,6.2,Regular
227,58.0,7671.19,Vitória,A,3.9,Regular
228,39.0,3420.04,Rio de Janeiro,A,2.9,Ruim
229,17.0,3770.13,Belo Horizonte,B,4.8,Ruim
230,64.0,8764.24,São Paulo,A,0.5,Regular
231,40.0,2854.28,Belo Horizonte,A,5.9,Ruim
232,19.0,5633.51,São Paulo,B,6.3,Bom
233,19.0,8789.68,Vitória,B,5.0,Bom
234,63.0,11192.78,Vitória,B,5.9,Ruim
235,40.0,8832.25,Vitória,A,1.1,Regular
236,0.0,7619.57,Rio de Janeiro,B,7.8,Regular
237,39.0,2974.51,Rio de Janeiro,B,3.1,Regular
238,37.0,11491.67,Belo Horizonte,A,6.6,Bom
239,38.0,11138.63,São Paulo,0,0.4,Regular
240,53.0,12824.28,Vitória,B,7.8,Bom
241,25.0,11864.29,São Paulo,B,3.7,Bom
242,68.0,10758.22,Rio de Janeiro,B,0.4,Bom
243,39.0,3541.41,São Paulo,A,9.4,Regular
244,69.0,0.0,Vitória,A,8.2,Ruim
245,63.0,7621.02,Vitória,B,8.6,Bom
246,46.0,3774.19,Belo Horizonte,B,9.9,Regular
247,57.0,4516.17,Rio de Janeiro,A,4.6,Ruim
248,40.0,6050.52,Rio de Janeiro,A,8.5,Bom
249,63.0,12541.94,Rio de Janeiro,B,7.0,Bom
250,46.0,10991.94,Vitória,B,8.1,Regular
251,65.0,9630.14,Belo Horizonte,B,1.9,Regular
252,19.0,1726.71,São Paulo,A,5.5,Bom
253,68.0,8898.0,Belo Horizonte,B,8.6,Bom
254,42.0,2720.01,São Paulo,B,3.3,Regular
255,42.0,10548.29,Vitória,B,6.5,Bom
256,23.0,1840.73,São Paulo,A,7.3,Regular
257,20.0,9756.42,Belo Horizonte,B,3.5,0
258,50.0,6071.67,Belo Horizonte,B,1.8,Regular
259,17.0,6410.55,Rio de Janeiro,A,6.2,Regular
260,36.0,1774.81,Belo Horizonte,A,0.4,Regular
261,18.0,4377.57,Vitória,A,8.8,Ruim
262,62.0,6224.87,Rio de Janeiro,B,6.8,Bom
263,61.0,6684.18,Vitória,B,8.3,Regular
264,76.0,16161.95,Vitória,A,-0.6,Regular
265,28.0,8409.38,Rio de Janeiro,B,5.5,Ruim
266,58.0,6660.62,São Paulo,B,6.9,Ruim
267,37.0,12776.22,São Paulo,B,6.2,Regular
268,22.0,9145.66,São Paulo,A,5.9,Regular
269,21.0,10649.08,Belo Horizonte,A,9.8,Regular
270,18.0,4952.22,Vitória,B,4.0,Ruim
271,42.0,5864.43,Belo Horizonte,B,7.9,Ruim
272,46.0,8975.79,São Paulo,B,2.2,Ruim
273,25.0,2453.11,São Paulo,A,9.6,Bom
274,29.0,5248.82,Rio de Janeiro,A,3.3,Regular
275,18.0,4674.11,Belo Horizonte,A,7.0,Regular
276,49.0,11745.39,Belo Horizonte,A,1.7,Bom
277,46.0,12485.3,Vitória,B,0.4,Regular
278,64.0,5835.09,Vitória,A,4.4,Ruim
279,41.0,3872.11,Vitória,A,4.8,Bom
280,41.0,1841.25,Belo Horizonte,B,5.2,Bom
281,20.0,6762.04,Belo Horizonte,B,9.3,Ruim
282,22.0,12380.22,Vitória,A,6.3,Regular
283,35.0,3442.11,Vitória,A,3.2,Ruim
284,44.0,7292.86,Belo Horizonte,A,6.1,Ruim
285,50.0,4606.33,Rio de Janeiro,A,8.7,Ruim
286,42.0,4487.43,Rio de Janeiro,A,3.1,Bom
287,56.0,1310.72,São Paulo,B,0.9,Regular
288,39.0,12326.94,Belo Horizonte,A,6.6,Ruim
289,50.0,11818.07,Rio de Janeiro,B,3.8,Ruim
290,40.0,12759.35,Belo Horizonte,A,3.0,Ruim
291,37.0,10406.99,São Paulo,B,2.6,Ruim
292,46.0,1539.36,Belo Horizonte,A,4.4,Bom
293,44.0,10493.03,Vitória,B,7.9,Regular
294,18.0,11771.36,São Paulo,B,8.5,Bom
