id,idade,renda,cidade,categoria,nota,feedback
1,41,7581.61,Rio de Janeiro,B,8.4,Ruim
2,38,8626.87,Belo Horizonte,A,2.2,Ruim
3,65,7742.99,São Paulo,A,1.2,Bom
4,59,6357.36,Vitória,B,9.5,Ruim
5,63,11899.3,Vitória,A,1.2,Bom
6,27,11877.63,Belo Horizonte,B,5.5,Regular
7,19,3981.32,Rio de Janeiro,A,9.1,Regular
8,32,2661.8,Belo Horizonte,A,6.0,
9,19,5182.09,Belo Horizonte,A,6.8,Ruim
10,22,2897.03,Rio de Janeiro,B,4.3,Regular
11,18,1354.22,Rio de Janeiro,A,3.0,Regular
12,52,5229.74,Vitória,A,8.4,Ruim
13,50,10498.29,Rio de Janeiro,B,9.1,Regular
14,64,7964.35,Belo Horizonte,A,2.3,Regular
15,67,2685.99,Vitória,A,0.6,Bom
16,56,5573.24,Vitória,B,1.9,Bom
17,36,12528.11,São Paulo,B,9.3,Regular
18,57,8535.96,São Paulo,A,5.1,Regular
19,27,3717.0,Rio de Janeiro,A,5.1,Bom
20,42,1815.32,Rio de Janeiro,B,8.9,Ruim
21,44,7624.69,São Paulo,B,0.6,Bom
22,50,6305.18,Belo Horizonte,B,7.1,Bom
23,35,4756.29,Belo Horizonte,B,7.8,Bom
24,70,6083.65,São Paulo,B,0.7,Regular
25,18,9432.76,Rio de Janeiro,B,7.1,Ruim
26,53,9384.49,São Paulo,B,9.1,Ruim
27,24,9263.97,Rio de Janeiro,B,1.4,Ruim
28,42,7036.88,Vitória,A,3.4,Regular
29,36,5514.12,Belo Horizonte,B,3.3,Regular
30,65,8054.51,São Paulo,A,6.1,Bom
31,60,12964.1,Rio de Janeiro,A,5.9,Regular
32,47,1782.97,Vitória,A,2.6,Regular
33,63,11447.36,Rio de Janeiro,A,8.7,Regular
34,50,8064.51,Vitória,B,3.3,Regular
35,34,5515.78,São Paulo,A,1.1,Regular
36,39,11323.05,Rio de Janeiro,B,4.2,Regular
37,38,8872.47,Vitória,B,7.0,Bom
38,69,3690.16,Belo Horizonte,A,1.3,Regular
39,22,3956.0,Rio de Janeiro,A,6.1,Regular
40,34,3972.03,São Paulo,A,8.9,Bom
41,50,4936.56,São Paulo,A,2.1,Ruim
42,68,5437.94,Vitória,A,5.4,Bom
43,23,7620.77,São Paulo,A,5.9,Regular
44,53,8563.63,Belo Horizonte,A,3.5,Regular
45,41,2504.32,Vitória,B,3.9,Bom
46,,4425.14,São Paulo,A,3.2,Ruim
47,66,12312.08,Belo Horizonte,B,5.0,Bom
48,53,10498.45,Belo Horizonte,B,1.3,Regular
49,38,3369.46,Belo Horizonte,B,9.5,Bom
50,63,10294.36,,A,8.2,Bom
51,35,11011.12,Vitória,B,2.3,Regular
52,35,6980.95,Vitória,B,0.0,Ruim
53,45,4480.08,São Paulo,A,8.2,Bom
54,39,2947.28,Rio de Janeiro,A,0.2,Bom
55,65,3582.31,Vitória,A,3.2,Ruim
56,34,12201.95,Vitória,B,5.8,Regular
57,60,11888.13,Vitória,A,4.4,Bom
58,69,11669.52,Vitória,B,3.9,Ruim
59,17,,Rio de Janeiro,A,9.3,Regular
60,53,6387.82,Belo Horizonte,B,7.6,Bom
61,27,3654.31,São Paulo,B,1.4,Bom
62,55,12149.97,Vitória,B,8.1,Ruim
63,70,2577.57,Vitória,B,3.4,Bom
64,42,4032.06,Belo Horizonte,B,3.5,Regular
65,48,5234.7,Belo Horizonte,A,5.6,Regular
66,30,6453.78,Belo Horizonte,B,1.7,Ruim
67,62,3226.68,Vitória,B,1.9,Bom
68,24,10300.65,São Paulo,B,1.5,Bom
69,48,7243.45,São Paulo,B,8.1,Regular
70,42,4399.61,Rio de Janeiro,B,6.0,Regular
71,48,5363.26,Rio de Janeiro,B,0.5,Bom
72,33,11817.54,Vitória,A,3.4,Regular
73,58,8359.34,Vitória,B,1.8,Regular
74,28,3672.34,São Paulo,B,4.9,Ruim
75,36,6208.61,São Paulo,B,9.2,Bom
76,44,6369.64,São Paulo,A,4.5,Bom
77,68,5357.66,Belo Horizonte,A,9.6,Ruim
78,24,7329.32,Vitória,A,6.7,Bom
79,39,3262.94,São Paulo,B,2.6,Bom
80,62,3354.45,São Paulo,B,2.7,Ruim
81,24,7558.29,São Paulo,A,4.0,Regular
82,59,9066.84,São Paulo,A,0.4,Regular
83,33,5793.55,Vitória,A,8.5,Ruim
84,58,12544.08,Belo Horizonte,B,8.1,Regular
85,45,3633.65,Belo Horizonte,B,4.4,Regular
86,25,10115.8,Vitória,A,5.7,Ruim
87,66,4094.93,Vitória,B,2.0,Ruim
88,68,5846.3,São Paulo,B,5.0,Regular
89,60,4364.59,Vitória,B,0.1,Ruim
90,27,5841.59,São Paulo,A,6.4,Regular
91,17,5658.28,São Paulo,A,7.5,Ruim
92,19,10491.22,São Paulo,A,4.9,Ruim
93,66,10599.26,Belo Horizonte,A,0.0,Bom
94,46,12357.03,São Paulo,B,5.8,Regular
95,51,3569.53,Vitória,A,7.1,Regular
96,51,9112.51,Belo Horizonte,A,5.9,Regular
97,37,6098.8,Belo Horizonte,B,2.0,Regular
98,18,11708.21,Rio de Janeiro,B,5.7,Ruim
99,29,3429.34,Vitória,B,8.0,Regular
100,23,5285.41,São Paulo,A,0.1,Regular
