id,idade,renda,cidade,categoria,nota,feedback
1,25,9508.3,Belo Horizonte,A,2.6,Regular
2,53,2346.15,São Paulo,A,1.6,Ruim
3,52,7578.47,Vitória,B,7.8,Regular
4,52,12940.35,São Paulo,B,9.4,Regular
5,59,4343.05,Vitória,A,3.9,Ruim
6,50,2633.01,Vitória,B,5.0,Ruim
7,67,10292.08,Rio de Janeiro,B,9.2,Ruim
8,47,11543.19,São Paulo,A,6.3,Ruim
9,33,5706.43,Rio de Janeiro,A,9.3,Ruim
10,60,8907.23,São Paulo,A,8.4,Bom
11,19,5279.19,São Paulo,B,5.1,Regular
12,23,12006.08,Belo Horizonte,B,2.3,Ruim
13,69,2876.14,Belo Horizonte,B,4.9,Bom
14,55,7498.29,São Paulo,B,8.0,Ruim
15,65,1443.67,São Paulo,A,7.0,Ruim
16,29,3981.8,São Paulo,A,5.2,Ruim
17,38,2972.11,Belo Horizonte,A,2.1,Bom
18,11,32889.27,Rio de Janeiro,B,12.6,Ruim
19,39,1659.46,Vitória,A,3.0,Regular
20,40,10341.86,Vitória,B,9.0,Regular
21,19,5023.97,Belo Horizonte,A,5.3,Ruim
22,68,11262.26,Vitória,B,7.3,Ruim
23,48,2690.37,Vitória,A,4.5,Bom
24,32,5281.95,Belo Horizonte,B,5.8,Regular
25,25,8193.64,São Paulo,B,7.4,Regular
26,63,5895.41,São Paulo,B,0.7,Regular
27,54,5348.87,Belo Horizonte,A,8.9,Bom
28,27,10357.87,São Paulo,B,5.0,Ruim
29,62,12490.41,Vitória,B,6.5,Ruim
30,57,11117.61,Rio de Janeiro,A,4.2,Ruim
31,33,8418.29,Vitória,A,3.3,Bom
32,47,4864.17,Belo Horizonte,A,2.4,Bom
33,62,6024.73,Rio de Janeiro,A,8.5,Ruim
34,59,8029.02,,A,1.4,Ruim
35,33,2899.82,São Paulo,A,3.1,Ruim
36,44,4040.64,Vitória,A,8.4,Bom
37,23,6507.85,São Paulo,A,1.5,Ruim
38,54,8781.59,Rio de Janeiro,B,7.6,Regular
39,23,7302.98,Rio de Janeiro,B,4.3,Bom
40,45,6061.54,Vitória,A,6.5,Ruim
41,57,7911.05,Belo Horizonte,B,0.8,Bom
42,33,4370.67,São Paulo,B,4.9,Bom
43,18,11856.88,Rio de Janeiro,B,2.0,Bom
44,50,4955.72,Rio de Janeiro,B,0.4,Regular
45,42,7170.08,São Paulo,A,5.6,Regular
46,56,8844.86,,A,7.6,Ruim
47,59,7742.12,Belo Horizonte,B,0.2,Ruim
48,20,12179.34,Belo Horizonte,A,0.2,Bom
49,54,1305.09,Belo Horizonte,B,4.5,Ruim
50,16,7963.96,Belo Horizonte,B,9.9,Bom
51,38,3641.54,Rio de Janeiro,,7.8,Regular
52,47,1524.32,Belo Horizonte,B,2.1,Bom
53,44,1467.6,São Paulo,B,7.6,Regular
54,28,8532.68,Vitória,A,0.8,Regular
55,67,7917.69,São Paulo,A,4.4,Ruim
56,51,6014.7,Rio de Janeiro,B,5.5,Ruim
57,65,10633.21,São Paulo,A,4.2,Bom
58,34,3829.53,Vitória,A,0.7,Regular
59,50,4634.2,São Paulo,A,9.0,Ruim
60,67,9627.45,Rio de Janeiro,A,2.4,Bom
61,59,5804.64,São Paulo,A,8.3,Bom
62,16,3253.0,Rio de Janeiro,B,4.6,Regular
63,67,2849.45,Belo Horizonte,B,5.5,Regular
64,64,9958.64,São Paulo,B,3.5,Bom
65,45,6896.52,Rio de Janeiro,A,2.9,Bom
66,36,9246.61,Vitória,B,4.8,Regular
67,19,5070.85,Belo Horizonte,A,8.9,Regular
68,68,7139.07,Belo Horizonte,A,3.1,Ruim
69,19,5732.36,Rio de Janeiro,A,2.2,Bom
70,52,5187.38,São Paulo,A,5.7,Bom
71,3,30285.53,São Paulo,B,11.9,Bom
72,24,9577.91,Belo Horizonte,A,9.9,Bom
73,30,5033.35,Rio de Janeiro,A,8.6,Regular
74,52,1330.19,Belo Horizonte,A,3.6,Regular
75,28,10604.28,Rio de Janeiro,B,1.7,Ruim
76,35,3693.26,Belo Horizonte,A,2.4,Ruim
77,25,2236.84,São Paulo,A,5.7,Bom
78,28,7006.8,Rio de Janeiro,B,6.6,Regular
79,66,6685.57,,B,4.3,Bom
80,62,11770.53,São Paulo,B,7.1,Bom
81,34,6321.81,Belo Horizonte,A,8.8,Regular
82,69,4404.12,Rio de Janeiro,B,0.5,Ruim
83,32,,Rio de Janeiro,A,8.6,Bom
84,52,8237.2,Belo Horizonte,A,4.5,Regular
85,56,3676.44,Rio de Janeiro,A,,Regular
86,63,2627.29,Vitória,B,5.0,Bom
87,35,3967.34,Vitória,B,3.8,Regular
88,29,12295.77,Belo Horizonte,B,4.6,Ruim
89,41,9240.83,Rio de Janeiro,A,6.0,Regular
90,16,2280.57,São Paulo,B,3.6,Ruim
91,30,2014.58,São Paulo,B,5.7,Bom
92,62,7355.81,São Paulo,A,7.7,Bom
93,53,6587.23,São Paulo,B,2.1,Bom
94,17,10594.72,Vitória,B,5.6,Regular
95,56,6840.66,Rio de Janeiro,A,6.1,Regular
96,53,12002.09,São Paulo,A,2.2,Regular
97,64,5233.54,Rio de Janeiro,A,,Regular
98,51,2065.01,São Paulo,B,2.4,Bom
99,48,3327.46,Vitória,A,3.9,Bom
100,61,3703.08,Belo Horizonte,B,9.3,Regular
101,35,8753.75,Rio de Janeiro,B,6.5,Bom
102,18,7508.57,Rio de Janeiro,A,3.4,Regular
103,51,1681.49,Vitória,B,7.9,Bom
104,17,11209.44,Vitória,A,4.4,Regular
105,53,6862.06,Rio de Janeiro,A,0.9,Ruim
106,41,7424.64,Belo Horizonte,B,4.5,Regular
107,21,10677.85,Belo Horizonte,B,1.7,Regular
108,25,12850.48,Rio de Janeiro,A,9.5,Ruim
109,19,9063.32,Belo Horizonte,B,0.6,Bom
110,17,12920.07,Vitória,B,6.6,Bom
111,44,3767.38,Belo Horizonte,B,9.2,Ruim
112,32,10973.23,Vitória,A,1.9,Ruim
113,47,1835.78,Rio de Janeiro,B,7.3,Regular
114,36,3023.69,Vitória,B,2.4,Regular
115,28,8386.78,Rio de Janeiro,A,2.3,Regular
116,55,5178.21,Belo Horizonte,B,8.6,Ruim
117,49,6547.01,Rio de Janeiro,B,8.7,Regular
118,23,10283.09,São Paulo,B,5.2,Ruim
